step,system_total_running,system_total_backlogged,system_total_stopped,system_total_arrived,system_total_departed,system_total_teleported,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,0_stopped,0_accumulated_waiting_time,0_average_speed,1_stopped,1_accumulated_waiting_time,1_average_speed,10_stopped,10_accumulated_waiting_time,10_average_speed,11_stopped,11_accumulated_waiting_time,11_average_speed,12_stopped,12_accumulated_waiting_time,12_average_speed,13_stopped,13_accumulated_waiting_time,13_average_speed,14_stopped,14_accumulated_waiting_time,14_average_speed,15_stopped,15_accumulated_waiting_time,15_average_speed,2_stopped,2_accumulated_waiting_time,2_average_speed,3_stopped,3_accumulated_waiting_time,3_average_speed,4_stopped,4_accumulated_waiting_time,4_average_speed,5_stopped,5_accumulated_waiting_time,5_average_speed,6_stopped,6_accumulated_waiting_time,6_average_speed,7_stopped,7_accumulated_waiting_time,7_average_speed,8_stopped,8_accumulated_waiting_time,8_average_speed,9_stopped,9_accumulated_waiting_time,9_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
5.0,16,0,0,0,16,0,0.0,0.0,12.857462292874082,0,0.0,0.9197173458414847,0,0.0,0.9223573874141073,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9270251172082697,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9210024907862506,0,0.0,0.9287562237744976,0,0.0,0.9257465070352221,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9312556007907926,0,0.0,1.0,0,0.0
10.0,32,0,0,0,32,0,0.0,0.0,13.735675456295212,0,0.0,0.9883560813071791,0,0.0,0.989538128342611,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9445331578580323,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9891226449102771,0,0.0,0.9898326498711001,0,0.0,0.98905870893493,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9859420449042985,0,0.0,1.0,0,0.0
15.0,40,0,1,0,40,0,1.0,0.025,12.364217708647777,0,0.0,0.9367707548491202,0,0.0,0.9525687669883671,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9486940794003959,0,0.0,0.5433279927160041,0,0.0,1.0,0,0.0,1.0,1,1.0,0.7379093185451626,0,0.0,0.8527698060676766,0,0.0,0.9465435686326616,0,0.0,0.91879252660504,0,0.0,1.0,0,0.0,0.9463236884445745,0,0.0,0.9486530810183348,0,0.0,0.8039013006986967,1,1.0
20.0,56,0,5,0,56,0,12.0,0.21428571428571427,10.5909354706493,0,0.0,0.7015011927741461,1,1.0,0.6905515069709437,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9267011182699535,0,0.0,0.9358951007889157,0,0.0,1.0,0,0.0,1.0,3,9.0,0.4752715140513999,1,2.0,0.588093247830242,0,0.0,0.9660275917911376,0,0.0,0.9198607402311021,0,0.0,1.0,0,0.0,0.8896783129588954,0,0.0,0.959541631249345,0,0.0,0.9524129217601431,5,12.0
25.0,72,0,6,0,72,0,15.0,0.20833333333333334,9.866295975238208,1,2.0,0.672772990667898,3,11.0,0.6373022774802055,0,0.0,1.0,0,0.0,0.7523796662307581,0,0.0,0.8210238116824712,0,0.0,0.8192489809262,0,0.0,1.0,0,0.0,1.0,0,6.0,0.7006759417652579,0,3.0,0.727351169547025,1,3.0,0.6969568186218188,1,2.0,0.7814676661359552,0,0.0,1.0,0,2.0,0.4182871896127379,0,0.0,0.9683772710218881,0,0.0,0.6986933971601015,6,29.0
30.0,80,0,7,0,80,0,20.0,0.25,9.763381111469998,3,11.0,0.6260339713644748,0,6.0,0.5340443248264582,0,0.0,1.0,0,0.0,0.9919738989915464,1,4.0,0.597739696923193,3,5.0,0.15956027184618715,0,0.0,1.0,0,0.0,1.0,0,0.0,0.8689801767672762,0,0.0,0.9729607727608056,0,4.0,0.8187964383616697,0,2.0,0.7732464138187223,0,4.0,0.8865935421131848,0,2.0,0.9208740239203614,0,2.0,0.8427865135734187,0,2.0,0.6933878743076958,7,42.0
35.0,96,0,11,0,96,0,40.0,0.4166666666666667,8.782174609058787,1,10.0,0.5564103645738305,2,8.0,0.5637945533980091,0,1.0,0.8636534474310567,0,0.0,0.2330613425344959,0,0.0,0.601904091791042,4,26.0,0.15846700565067715,0,0.0,1.0,0,0.0,1.0,1,4.0,0.6427270881507767,0,0.0,0.5553148352321159,1,6.0,0.7176084045938268,1,6.0,0.5689422333369365,0,4.0,0.9342245339079341,0,2.0,0.9031508813470019,1,4.0,0.5802511707973269,0,2.0,0.9858587430664416,11,73.0
40.0,112,0,19,0,112,0,96.0,0.8571428571428571,8.09747533509951,3,13.0,0.6753321808424787,2,8.0,0.7081072538490776,0,1.0,0.9483703606579604,1,4.0,0.0,0,0.0,0.9623031929958348,4,46.0,0.5019423051702804,0,0.0,1.0,0,0.0,1.0,3,18.0,0.45827255130184535,3,13.0,0.5463254537097221,0,1.0,0.5335666816279512,0,9.0,0.6857365404450135,0,8.0,0.32770811521035453,2,4.0,0.3540990515144252,0,4.0,0.7725939808321309,1,6.0,0.5063387272590115,19,135.0
45.0,120,0,12,0,120,0,45.0,0.375,7.972054425419931,1,7.0,0.5339975435181957,4,24.0,0.6287162750638035,0,3.0,0.42526815702335075,0,4.0,0.5962226287932643,0,0.0,0.977982404330433,0,28.0,0.7440698577025984,0,2.0,0.40578565959339585,0,2.0,0.40952298949279475,0,12.0,0.6314524393227479,0,8.0,0.5332844413458906,4,17.0,0.42353824201881457,1,9.0,0.5602724271214238,0,8.0,0.5205904338967436,0,7.0,0.5015225816196935,1,4.0,0.765792211510909,1,9.0,0.7321331052578263,12,144.0
50.0,136,0,12,0,136,0,49.0,0.3602941176470588,9.25731217249095,3,11.0,0.6252357981828701,1,20.0,0.3881928324762283,4,16.0,0.5408438435547398,0,4.0,0.8642996536243802,0,0.0,0.9521801917503713,0,0.0,0.8158710399625477,0,4.0,0.8427610805132804,0,2.0,0.9575663868036982,0,2.0,0.8545447238253845,1,3.0,0.7384564492641661,0,15.0,0.7356875837563165,0,13.0,0.584286865606245,0,8.0,0.8361497409872571,0,4.0,0.6404040140910974,2,14.0,0.5365061832755315,1,16.0,0.7474472540526116,12,132.0
