step,system_total_running,system_total_backlogged,system_total_stopped,system_total_arrived,system_total_departed,system_total_teleported,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,0_stopped,0_accumulated_waiting_time,0_average_speed,1_stopped,1_accumulated_waiting_time,1_average_speed,10_stopped,10_accumulated_waiting_time,10_average_speed,11_stopped,11_accumulated_waiting_time,11_average_speed,12_stopped,12_accumulated_waiting_time,12_average_speed,13_stopped,13_accumulated_waiting_time,13_average_speed,14_stopped,14_accumulated_waiting_time,14_average_speed,15_stopped,15_accumulated_waiting_time,15_average_speed,2_stopped,2_accumulated_waiting_time,2_average_speed,3_stopped,3_accumulated_waiting_time,3_average_speed,4_stopped,4_accumulated_waiting_time,4_average_speed,5_stopped,5_accumulated_waiting_time,5_average_speed,6_stopped,6_accumulated_waiting_time,6_average_speed,7_stopped,7_accumulated_waiting_time,7_average_speed,8_stopped,8_accumulated_waiting_time,8_average_speed,9_stopped,9_accumulated_waiting_time,9_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
5.0,16,0,0,0,16,0,0.0,0.0,13.158894065959043,0,0.0,0.951989775202627,0,0.0,0.9465893592496082,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9455188816577311,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9523638254771811,0,0.0,0.9437347408194265,0,0.0,0.9522478675648735,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9434810180017519,0,0.0,1.0,0,0.0
10.0,32,0,0,0,32,0,0.0,0.0,13.414365481832032,0,0.0,0.9790172781541119,0,0.0,0.9798065313749325,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9230145078115304,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9810431492812968,0,0.0,0.9808020247310436,0,0.0,0.9768006541326208,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9790256370061047,0,0.0,1.0,0,0.0
15.0,40,0,0,0,40,0,0.0,0.0,11.945124192709603,0,0.0,0.8767978024129578,0,0.0,0.7718724577007114,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9528274262328763,0,0.0,0.5157956725339821,0,0.0,1.0,0,0.0,1.0,0,0.0,0.947249737937748,0,0.0,0.7612861602466027,0,0.0,0.9586098412894908,0,0.0,0.8282406645119256,0,0.0,0.9538068561664208,0,0.0,1.0,0,0.0,0.9342196374086894,0,0.0,0.939606994771853,0,0.0
20.0,56,0,5,0,56,0,12.0,0.21428571428571427,11.321390408058098,1,4.0,0.7760451559486586,2,4.0,0.6230810761840426,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9439398321235319,0,0.0,0.941969247787287,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9672285955572605,2,4.0,0.5499830967820599,0,0.0,0.7893916192385793,0,0.0,0.9378579593224338,0,0.0,0.9391296549920177,0,0.0,1.0,0,0.0,0.9548002172291573,0,0.0,0.9294718491340254,5,12.0
25.0,72,0,1,0,72,0,4.0,0.05555555555555555,10.439785594488992,0,0.0,0.748895834241443,0,3.0,0.616225674257601,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9854350939864306,0,0.0,0.923500165953028,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9514989982029011,0,4.0,0.6505462000432273,1,6.0,0.6716490565307595,0,4.0,0.7913319929667879,0,0.0,0.6226557525659858,0,4.0,0.5035536398564293,0,0.0,0.783628344302144,0,0.0,0.9609405182058595,1,21.0
30.0,80,0,7,0,80,0,19.0,0.2375,10.65108883397509,2,6.0,0.6255623558610365,3,7.0,0.4965436105113126,0,1.0,0.7877179042249076,0,0.0,1.0,0,0.0,0.9733403093876194,0,0.0,0.9262718175590253,0,0.0,0.9421690046396779,0,0.0,1.0,0,0.0,0.9517494612324163,0,0.0,0.8736578917183918,0,2.0,0.8599960660065354,0,4.0,0.8309717382432963,0,0.0,0.8885715739228359,0,4.0,0.8806911752571389,2,8.0,0.4888242999301293,0,0.0,0.9318194033779372,7,32.0
35.0,96,0,8,0,96,0,34.0,0.3541666666666667,10.327363351130058,0,2.0,0.6820550810537916,4,29.0,0.4838641398819421,0,3.0,0.9518503808356775,0,0.0,1.0,0,0.0,0.944052330120996,0,0.0,0.9283592375634443,0,0.0,0.8672377355019394,0,0.0,1.0,0,0.0,0.8027353910149472,1,1.0,0.7590554118380688,1,6.0,0.806557499330285,2,8.0,0.6438014262890277,0,0.0,0.761680828663001,0,4.0,0.9004264830852857,0,2.0,0.6364774733473962,0,2.0,0.4172558526040729,8,57.0
40.0,112,0,12,0,112,0,26.0,0.23214285714285715,9.30681316669654,2,4.0,0.7201365927605002,0,19.0,0.7316048822635116,0,3.0,0.9209450923571529,0,0.0,0.9206801383467166,0,0.0,0.969241219368516,0,0.0,0.9509505795910949,1,1.0,0.7282680231558057,0,0.0,1.0,2,8.0,0.5248305793278759,2,7.0,0.48833964270885355,2,2.0,0.45356917311845907,2,12.0,0.32828761794778316,1,7.0,0.4376150035769255,0,0.0,0.9639101770294154,0,2.0,0.8859511802965979,0,4.0,0.8882548368542937,12,69.0
45.0,120,0,17,0,120,0,57.0,0.475,8.527759054810277,0,1.0,0.6635986368874092,1,8.0,0.66249323860503,2,6.0,0.3357524246005807,0,0.0,0.9292860070758988,0,0.0,0.8119788407985535,0,0.0,0.943945997788414,0,0.0,0.5871006378092695,0,2.0,0.40967992672607856,0,7.0,0.7119883905526105,0,4.0,0.5801117461542892,5,23.0,0.4067677384533884,7,33.0,0.40804602625048386,1,6.0,0.6422238247146849,1,5.0,0.38926810489164826,0,0.0,0.713071893310246,0,4.0,0.9188299430139718,17,99.0
50.0,136,0,19,0,136,0,102.0,0.75,9.055894115132375,3,6.0,0.6398554399277383,0,5.0,0.46420148320947485,0,3.0,0.46431942250021163,0,0.0,0.767196147445852,0,0.0,0.956183183177221,0,0.0,0.9644509720110076,0,2.0,0.773357890123941,0,2.0,0.8407632298705474,0,4.0,0.9106033420664645,0,0.0,0.8629693092229048,2,29.0,0.5716540426548422,8,74.0,0.3356844809561642,1,13.0,0.7853729992019112,2,15.0,0.6884245527620935,3,13.0,0.4616927169770277,0,0.0,0.7088301365073046,19,166.0
