step,system_total_running,system_total_backlogged,system_total_stopped,system_total_arrived,system_total_departed,system_total_teleported,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,TL_stopped,TL_accumulated_waiting_time,TL_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
5.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
10.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
15.0,2,0,0,0,2,0,0.0,0.0,12.175773907103576,0,0.0,0.8212973050013748,0,0.0
20.0,2,0,0,0,2,0,0.0,0.0,14.777853341045788,0,0.0,0.9967886675435242,0,0.0
25.0,2,0,0,0,2,0,0.0,0.0,14.605037368106654,0,0.0,0.9851428495874197,0,0.0
30.0,3,0,0,0,3,0,0.0,0.0,13.797887062285405,0,0.0,0.9613002786033095,0,0.0
35.0,4,0,0,0,4,0,0.0,0.0,13.55346126659956,0,0.0,0.9153628681728385,0,0.0
40.0,5,0,0,0,5,0,0.0,0.0,13.981200429219353,0,0.0,0.9471445189518457,0,0.0
45.0,6,0,0,0,6,0,0.0,0.0,14.079381006996057,0,0.0,0.9416803363452478,0,0.0
50.0,6,0,0,0,6,0,0.0,0.0,14.745134030145737,0,0.0,0.9832359865089949,0,0.0
55.0,8,0,0,0,8,0,0.0,0.0,13.957343052495728,0,0.0,0.9332079563388103,0,0.0
60.0,10,0,0,0,10,0,0.0,0.0,13.965690914320604,0,0.0,0.935652629476295,0,0.0
65.0,12,0,0,0,12,0,0.0,0.0,13.491579023854941,0,0.0,0.8966996662581345,0,0.0
70.0,12,0,1,0,12,0,4.0,0.3333333333333333,13.484980289581337,1,4.0,0.8938685317188718,1,4.0
75.0,14,0,1,0,14,0,9.0,0.6428571428571429,13.228632456673944,1,9.0,0.8949669046536137,1,9.0
80.0,14,0,1,0,14,0,14.0,1.0,13.385708534276338,1,14.0,0.8989260446054064,1,14.0
85.0,16,0,1,0,16,0,19.0,1.1875,12.611434806431022,1,19.0,0.8488127340658034,1,19.0
90.0,16,0,2,0,16,0,28.0,1.75,12.374421494647546,2,28.0,0.8279934102785997,2,28.0
95.0,20,0,3,0,20,0,40.0,2.0,11.439473437676275,3,40.0,0.7479199605816911,3,40.0
100.0,24,0,3,0,24,0,55.0,2.2916666666666665,11.91472961799642,3,55.0,0.8081170604334629,3,55.0
