step,system_total_running,system_total_backlogged,system_total_stopped,system_total_arrived,system_total_departed,system_total_teleported,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,TL_stopped,TL_accumulated_waiting_time,TL_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
5.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
10.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
15.0,2,0,0,0,2,0,0.0,0.0,11.359086932588104,0,0.0,0.9043996611738713,0,0.0
20.0,2,0,0,0,2,0,0.0,0.0,12.460338239922187,0,0.0,0.9820237476538598,0,0.0
25.0,2,0,0,0,2,0,0.0,0.0,12.451919678264296,0,0.0,0.9807166005878437,0,0.0
30.0,3,0,0,0,3,0,0.0,0.0,12.317782735035133,0,0.0,0.9795051729418044,0,0.0
35.0,4,0,0,0,4,0,0.0,0.0,11.952658634426559,0,0.0,0.9331282414084457,0,0.0
40.0,5,0,0,0,5,0,0.0,0.0,12.58632790448921,0,0.0,0.9792016884331864,0,0.0
45.0,6,0,0,0,6,0,0.0,0.0,12.568587175029753,0,0.0,0.9829848406034066,0,0.0
50.0,6,0,0,0,6,0,0.0,0.0,12.529902324201522,0,0.0,0.9794699456166057,0,0.0
55.0,8,0,0,0,8,0,0.0,0.0,12.153164986218894,0,0.0,0.9314776041389203,0,0.0
60.0,10,0,0,0,10,0,0.0,0.0,12.466410948770866,0,0.0,0.9554510464582104,0,0.0
65.0,12,0,0,0,12,0,0.0,0.0,12.313200038685617,0,0.0,0.9372580141096846,0,0.0
70.0,12,0,1,0,12,0,2.0,0.16666666666666666,11.806932061193478,1,2.0,0.9014717798986736,1,2.0
75.0,14,0,1,0,14,0,7.0,0.5,11.87433063883817,1,7.0,0.8984604497529931,1,7.0
80.0,14,0,1,0,14,0,12.0,0.8571428571428571,12.019194700530784,1,12.0,0.9075121124049004,1,12.0
85.0,16,0,1,0,16,0,17.0,1.0625,11.917928767427034,1,17.0,0.8798368210655158,1,17.0
90.0,16,0,1,0,16,0,22.0,1.375,11.646490582542214,1,22.0,0.8386877108241733,1,22.0
95.0,20,0,2,0,20,0,31.0,1.55,11.403973311131047,2,31.0,0.8166119296744436,2,31.0
100.0,24,0,3,0,24,0,44.0,1.8333333333333333,11.37369115631527,3,44.0,0.8067851965911895,3,44.0
