step,system_total_running,system_total_backlogged,system_total_stopped,system_total_arrived,system_total_departed,system_total_teleported,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,TL_stopped,TL_accumulated_waiting_time,TL_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
5.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
10.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
15.0,2,0,0,0,2,0,0.0,0.0,11.687577692384366,0,0.0,0.7161319902280927,0,0.0
20.0,2,0,0,0,2,0,0.0,0.0,15.066495057253633,0,0.0,0.9231457361602411,0,0.0
25.0,2,0,0,0,2,0,0.0,0.0,15.973146415976876,0,0.0,0.9785612910429351,0,0.0
30.0,3,0,0,0,3,0,0.0,0.0,14.776587141303702,0,0.0,0.9511030736759706,0,0.0
35.0,4,0,0,0,4,0,0.0,0.0,14.26231472061949,0,0.0,0.9303803800170625,0,0.0
40.0,5,0,0,0,5,0,0.0,0.0,14.227309486866869,0,0.0,0.9802868721318342,0,0.0
45.0,6,0,0,0,6,0,0.0,0.0,13.707628758772367,0,0.0,0.9748586544740437,0,0.0
50.0,6,0,0,0,6,0,0.0,0.0,13.850715780584855,0,0.0,0.985488104193577,0,0.0
55.0,8,0,0,0,8,0,0.0,0.0,13.147991445143077,0,0.0,0.9518487696568465,0,0.0
60.0,10,0,0,0,10,0,0.0,0.0,12.134883170675872,0,0.0,0.9339866008651082,0,0.0
65.0,12,0,2,0,12,0,5.0,0.4166666666666667,10.01588245641594,2,5.0,0.7898497420698147,2,5.0
70.0,12,0,2,0,12,0,15.0,1.25,10.445352017428876,2,15.0,0.8179960857218721,2,15.0
75.0,14,0,1,0,14,0,12.0,0.8571428571428571,10.861429030228775,1,24.0,0.8305213083523747,1,24.0
80.0,14,0,1,0,14,0,17.0,1.2142857142857142,11.276451968318286,1,17.0,0.9017738169874924,1,17.0
85.0,16,0,2,0,16,0,23.0,1.4375,10.353585600808444,2,23.0,0.8084668953970613,2,23.0
90.0,16,0,3,0,16,0,36.0,2.25,10.057741062535563,3,36.0,0.7707780546910699,3,36.0
95.0,20,0,3,0,20,0,51.0,2.55,10.398391670715352,3,51.0,0.7609291141188309,3,51.0
100.0,24,0,3,0,24,0,66.0,2.75,11.192173568591938,3,66.0,0.8096348332940514,3,66.0
