step,system_total_running,system_total_backlogged,system_total_stopped,system_total_arrived,system_total_departed,system_total_teleported,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,TL_stopped,TL_accumulated_waiting_time,TL_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
5.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
10.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
15.0,2,0,0,0,2,0,0.0,0.0,12.07375566211492,0,0.0,0.9646822477218389,0,0.0
20.0,2,0,0,0,2,0,0.0,0.0,12.355779284777423,0,0.0,0.9874588043807382,0,0.0
25.0,2,0,0,0,2,0,0.0,0.0,12.386885381935468,0,0.0,0.9899012391948212,0,0.0
30.0,3,0,0,0,3,0,0.0,0.0,12.339419307297918,0,0.0,0.9424550660294151,0,0.0
35.0,4,0,0,0,4,0,0.0,0.0,12.583663003967768,0,0.0,0.9766695182331643,0,0.0
40.0,5,0,0,0,5,0,0.0,0.0,12.770299497868525,0,0.0,0.9487490262171638,0,0.0
45.0,6,0,0,0,6,0,0.0,0.0,13.058763556196652,0,0.0,0.9866502323041945,0,0.0
50.0,6,0,0,0,6,0,0.0,0.0,13.018298082475383,0,0.0,0.9835671262430533,0,0.0
55.0,8,0,0,0,8,0,0.0,0.0,12.62804072671507,0,0.0,0.9634161876745898,0,0.0
60.0,10,0,0,0,10,0,0.0,0.0,12.561148504023429,0,0.0,0.9777562768731997,0,0.0
65.0,12,0,0,0,12,0,0.0,0.0,12.688098034694711,0,0.0,0.9809468722609243,0,0.0
70.0,12,0,0,0,12,0,0.0,0.0,12.72955034493978,0,0.0,0.9825901275204455,0,0.0
75.0,14,0,0,0,14,0,0.0,0.0,12.130267358526552,0,0.0,0.9285341512017535,0,0.0
80.0,14,0,1,0,14,0,5.0,0.35714285714285715,11.829058721471354,1,5.0,0.903059658852646,1,5.0
85.0,16,0,1,0,16,0,10.0,0.625,11.74879063778735,1,10.0,0.8803178867428026,1,10.0
90.0,16,0,1,0,16,0,15.0,0.9375,12.071700956794626,1,15.0,0.9106305528099045,1,15.0
95.0,20,0,1,0,20,0,20.0,1.0,11.810299732911496,1,20.0,0.8854757061621729,1,20.0
100.0,24,0,2,0,24,0,27.0,1.125,11.517985762365052,2,27.0,0.8523098140460809,2,27.0
