step,system_total_running,system_total_backlogged,system_total_stopped,system_total_arrived,system_total_departed,system_total_teleported,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,TL_stopped,TL_accumulated_waiting_time,TL_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
5.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
10.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
15.0,2,0,0,0,2,0,0.0,0.0,12.18258568807505,0,0.0,0.866461264058021,0,0.0
20.0,2,0,0,0,2,0,0.0,0.0,13.949594063963392,0,0.0,0.9922089574860011,0,0.0
25.0,2,0,0,0,2,0,0.0,0.0,13.886651688825456,0,0.0,0.9877435215505403,0,0.0
30.0,3,0,0,0,3,0,0.0,0.0,13.109676723726643,0,0.0,0.9702071850827044,0,0.0
35.0,4,0,0,0,4,0,0.0,0.0,12.913372737915202,0,0.0,0.9510608849153235,0,0.0
40.0,5,0,0,0,5,0,0.0,0.0,13.006514927175612,0,0.0,0.9887379105332913,0,0.0
45.0,6,0,0,0,6,0,0.0,0.0,12.387970870072715,0,0.0,0.974981504809239,0,0.0
50.0,6,0,0,0,6,0,0.0,0.0,12.416485745850869,0,0.0,0.9779668614360584,0,0.0
55.0,8,0,0,0,8,0,0.0,0.0,12.32492543851776,0,0.0,0.9447230200643967,0,0.0
60.0,10,0,0,0,10,0,0.0,0.0,12.567810084458875,0,0.0,0.9518246555593818,0,0.0
65.0,12,0,0,0,12,0,0.0,0.0,12.987735686108474,0,0.0,0.9691702026786171,0,0.0
70.0,12,0,1,0,12,0,1.0,0.08333333333333333,12.03667290959442,1,1.0,0.891100569469094,1,1.0
75.0,14,0,1,0,14,0,6.0,0.42857142857142855,12.046209890114733,1,6.0,0.884923163747039,1,6.0
80.0,14,0,1,0,14,0,11.0,0.7857142857142857,12.362237879705045,1,11.0,0.9074834544977216,1,11.0
85.0,16,0,1,0,16,0,16.0,1.0,12.082431557644705,1,16.0,0.8795057759993737,1,16.0
90.0,16,0,1,0,16,0,21.0,1.3125,11.746300380588593,1,21.0,0.8359391699971984,1,21.0
95.0,20,0,2,0,20,0,30.0,1.5,11.421663207797687,2,30.0,0.8189189809688168,2,30.0
100.0,24,0,2,0,24,0,40.0,1.6666666666666667,11.75047103195667,2,40.0,0.8548494286428681,2,40.0
