step,system_total_running,system_total_backlogged,system_total_stopped,system_total_arrived,system_total_departed,system_total_teleported,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,TL_stopped,TL_accumulated_waiting_time,TL_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
5.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
10.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
15.0,2,0,0,0,2,0,0.0,0.0,11.943628883642342,0,0.0,0.8784756144658414,0,0.0
20.0,2,0,0,0,2,0,0.0,0.0,13.602057779487343,0,0.0,0.9903105961593668,0,0.0
25.0,2,0,0,0,2,0,0.0,0.0,13.499673767294855,0,0.0,0.9839233309659814,0,0.0
30.0,3,0,0,0,3,0,0.0,0.0,13.031770806945941,0,0.0,0.9037411185282967,0,0.0
35.0,4,0,0,0,4,0,0.0,0.0,13.643072520115007,0,0.0,0.9787290143374923,0,0.0
40.0,5,0,0,0,5,0,0.0,0.0,13.422523441555871,0,0.0,0.9825654761001168,0,0.0
45.0,6,0,0,0,6,0,0.0,0.0,13.136018065808619,0,0.0,0.9632061339810757,0,0.0
50.0,6,0,0,0,6,0,0.0,0.0,13.48309760311441,0,0.0,0.9888410359374489,0,0.0
55.0,8,0,0,0,8,0,0.0,0.0,12.915404798475045,0,0.0,0.9620705356919468,0,0.0
60.0,10,0,0,0,10,0,0.0,0.0,12.816339545840226,0,0.0,0.9386555455716875,0,0.0
65.0,12,0,0,0,12,0,0.0,0.0,12.630513250007608,0,0.0,0.935327152339983,0,0.0
70.0,12,0,1,0,12,0,4.0,0.3333333333333333,12.14764534193401,1,4.0,0.9033862889742736,1,4.0
75.0,14,0,2,0,14,0,10.0,0.7142857142857143,10.788245468751317,2,10.0,0.8060540469713527,2,10.0
80.0,14,0,3,0,14,0,23.0,1.6428571428571428,10.19138361914499,3,23.0,0.769837857931724,3,23.0
85.0,16,0,3,0,16,0,38.0,2.375,10.294507437808349,3,38.0,0.770003095931328,3,38.0
90.0,16,0,3,0,16,0,53.0,3.3125,10.612566327068555,3,53.0,0.7925772930686976,3,53.0
95.0,20,0,3,0,20,0,68.0,3.4,10.553354372329482,3,68.0,0.7839236588400171,3,68.0
100.0,24,0,5,0,24,0,87.0,3.625,9.680297293800509,5,87.0,0.7108242483466415,5,87.0
