step,system_total_running,system_total_backlogged,system_total_stopped,system_total_arrived,system_total_departed,system_total_teleported,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,TL_stopped,TL_accumulated_waiting_time,TL_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
5.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
10.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
15.0,2,0,0,0,2,0,0.0,0.0,11.980731564341113,0,0.0,0.9547376085263177,0,0.0
20.0,2,0,0,0,2,0,0.0,0.0,12.437721092295394,0,0.0,0.990752888270662,0,0.0
25.0,2,0,0,0,2,0,0.0,0.0,12.278233249771436,0,0.0,0.9787765749878317,0,0.0
30.0,3,0,0,0,3,0,0.0,0.0,12.291971367772687,0,0.0,0.9515286922753624,0,0.0
35.0,4,0,0,0,4,0,0.0,0.0,12.457837405548252,0,0.0,0.9707041407733126,0,0.0
40.0,5,0,0,0,5,0,0.0,0.0,12.708521919123639,0,0.0,0.9705182646927651,0,0.0
45.0,6,0,0,0,6,0,0.0,0.0,12.777416105309692,0,0.0,0.9506612847268953,0,0.0
50.0,6,0,0,0,6,0,0.0,0.0,13.273074555449506,0,0.0,0.9824864319617652,0,0.0
55.0,8,0,0,0,8,0,0.0,0.0,12.800785274065557,0,0.0,0.9382320300410961,0,0.0
60.0,10,0,0,0,10,0,0.0,0.0,12.908770751716563,0,0.0,0.9411133488531803,0,0.0
65.0,12,0,0,0,12,0,0.0,0.0,13.344209419077563,0,0.0,0.9687331967963253,0,0.0
70.0,12,0,0,0,12,0,0.0,0.0,13.144196769390321,0,0.0,0.9553972653091273,0,0.0
75.0,14,0,1,0,14,0,2.0,0.14285714285714285,12.24512601255746,1,2.0,0.8894706242482057,1,2.0
80.0,14,0,2,0,14,0,10.0,0.7142857142857143,11.48181192522595,2,10.0,0.8250354883476033,2,10.0
85.0,16,0,2,0,16,0,20.0,1.25,10.603887203806234,2,20.0,0.7618372489351141,2,20.0
90.0,16,0,3,0,16,0,35.0,2.1875,10.568017950497934,3,35.0,0.760037355467778,3,35.0
95.0,20,0,5,0,20,0,55.0,2.75,8.956401543754323,5,55.0,0.6576610019394642,5,55.0
100.0,24,0,6,0,24,0,85.0,3.5416666666666665,9.559352002424616,6,85.0,0.6914714262207061,6,85.0
