step,system_total_running,system_total_backlogged,system_total_stopped,system_total_arrived,system_total_departed,system_total_teleported,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,TL_stopped,TL_accumulated_waiting_time,TL_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
5.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
10.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
15.0,2,0,0,0,2,0,0.0,0.0,11.425459864840377,0,0.0,0.7967147415437166,0,0.0
20.0,2,0,0,0,2,0,0.0,0.0,14.053574388498546,0,0.0,0.9730091809507773,0,0.0
25.0,2,0,0,0,2,0,0.0,0.0,14.141426017043287,0,0.0,0.980342812290347,0,0.0
30.0,3,0,0,0,3,0,0.0,0.0,13.414621739843,0,0.0,0.9685522357790112,0,0.0
35.0,4,0,0,0,4,0,0.0,0.0,13.052461967982186,0,0.0,0.9457170840297616,0,0.0
40.0,5,0,0,0,5,0,0.0,0.0,13.450876015434986,0,0.0,0.974827661686183,0,0.0
45.0,6,0,0,0,6,0,0.0,0.0,13.266692448345315,0,0.0,0.9494037979695004,0,0.0
50.0,6,0,0,0,6,0,0.0,0.0,13.777501597118595,0,0.0,0.9827541201633158,0,0.0
55.0,8,0,0,0,8,0,0.0,0.0,13.172044623619485,0,0.0,0.9473767069904611,0,0.0
60.0,10,0,0,0,10,0,0.0,0.0,13.162975403702472,0,0.0,0.958644005486236,0,0.0
65.0,12,0,0,0,12,0,0.0,0.0,11.969751168929257,0,1.0,0.8841964918505464,0,1.0
70.0,12,0,0,0,12,0,0.0,0.0,12.481151524276482,0,0.0,0.980125938824553,0,0.0
75.0,14,0,1,0,14,0,1.0,0.07142857142857142,11.889340043137809,1,1.0,0.8939166747323105,1,1.0
80.0,14,0,1,0,14,0,6.0,0.42857142857142855,12.282396856893751,1,6.0,0.9052646619554234,1,6.0
85.0,16,0,1,0,16,0,11.0,0.6875,12.194806381468789,1,11.0,0.8726109412558887,1,11.0
90.0,16,0,1,0,16,0,16.0,1.0,12.00419420613894,1,16.0,0.8462037992186868,1,16.0
95.0,20,0,3,0,20,0,26.0,1.3,10.326997191025576,3,26.0,0.7241963835580871,3,26.0
100.0,24,0,4,0,24,0,45.0,1.875,10.795637070198687,4,45.0,0.7814310190743229,4,45.0
