step,system_total_running,system_total_backlogged,system_total_stopped,system_total_arrived,system_total_departed,system_total_teleported,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,TL_stopped,TL_accumulated_waiting_time,TL_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
5.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
10.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
15.0,2,0,0,0,2,0,0.0,0.0,11.724690090748481,0,0.0,0.7733786172910512,0,0.0
20.0,2,0,0,0,2,0,0.0,0.0,14.61222015474197,0,0.0,0.9621201122153247,0,0.0
25.0,2,0,0,0,2,0,0.0,0.0,15.045622350175169,0,0.0,0.989387474946949,0,0.0
30.0,3,0,0,0,3,0,0.0,0.0,14.108840868609493,0,0.0,0.9154068737121109,0,0.0
35.0,4,0,0,0,4,0,0.0,0.0,14.08052588978538,0,0.0,0.941885225088579,0,0.0
40.0,5,0,0,0,5,0,0.0,0.0,14.298278505851858,0,0.0,0.9805110136243794,0,0.0
45.0,6,0,0,0,6,0,0.0,0.0,13.990584373009979,0,0.0,0.9631760419625293,0,0.0
50.0,6,0,0,0,6,0,0.0,0.0,14.27743182691554,0,0.0,0.9825730843820476,0,0.0
55.0,8,0,0,0,8,0,0.0,0.0,13.502819841489856,0,0.0,0.9268106851843679,0,0.0
60.0,10,0,0,0,10,0,0.0,0.0,13.07253654282555,0,0.0,0.9043885304311654,0,0.0
65.0,12,0,1,0,12,0,3.0,0.25,12.573170310277286,1,3.0,0.8919849892475272,1,3.0
70.0,12,0,1,0,12,0,8.0,0.6666666666666666,11.534083144891696,1,8.0,0.818368967858203,1,8.0
75.0,14,0,2,0,14,0,18.0,1.2857142857142858,11.356393893557911,2,18.0,0.8092288189036932,2,18.0
80.0,14,0,3,0,14,0,30.0,2.142857142857143,10.724043235805112,3,30.0,0.7713352536383927,3,30.0
85.0,16,0,3,0,16,0,45.0,2.8125,10.658881898348863,3,45.0,0.7634632731895011,3,45.0
90.0,16,0,3,0,16,0,60.0,3.75,11.02134080518719,3,60.0,0.7867527812889871,3,60.0
95.0,19,1,4,0,19,0,78.0,4.105263157894737,9.663387216689705,4,78.0,0.6899577951756227,4,78.0
100.0,24,0,6,0,24,0,105.0,4.375,9.635506511306565,6,105.0,0.6993526593345644,6,105.0
